[INFO    :   django.utils.autoreload] - 2024-02-03 15:38:24,527 : run_with_reloader @ 0668: Watching for file changes with StatReloader
[INFO    :                base.views] - 2024-02-03 15:38:30,949 : index @ 0009: Index page accessed
[INFO    :             django.server] - 2024-02-03 15:38:30,965 : log_message @ 0212: "GET / HTTP/1.1" 200 2801
[INFO    :             django.server] - 2024-02-03 15:38:31,113 : log_message @ 0212: "GET /static/css/style.css HTTP/1.1" 304 0
[INFO    :             django.server] - 2024-02-03 15:38:31,116 : log_message @ 0212: "GET /static/img/logo/mini-dog-logo.png HTTP/1.1" 304 0
[INFO    :             django.server] - 2024-02-03 15:38:31,118 : log_message @ 0212: "GET /static/img/logo/person.svg HTTP/1.1" 304 0
[INFO    :             django.server] - 2024-02-03 15:38:31,119 : log_message @ 0212: "GET /static/js/script.js HTTP/1.1" 304 0
[WARNING :             django.server] - 2024-02-03 15:38:33,816 : log_message @ 0212: "GET /static/fonts/OpenSans-Regular.ttf HTTP/1.1" 404 1837
[INFO    :   django.utils.autoreload] - 2024-02-03 15:43:18,482 : trigger_reload @ 0266: C:\Users\korotkevich\PycharmProjects\petProject\friendlydogs\friendlydogs\settings.py changed, reloading.
[INFO    :   django.utils.autoreload] - 2024-02-03 15:43:19,812 : run_with_reloader @ 0668: Watching for file changes with StatReloader
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:19,813 : run @ 0330: Waiting for apps ready_event.
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:19,832 : run @ 0342: Apps ready_event triggered. Sending autoreload_started signal.
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:19,857 : watch_dir @ 0296: Watching dir C:\Users\korotkevich\PycharmProjects\petProject\friendlydogs\base\templates with glob **/*.
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:19,858 : watch_dir @ 0296: Watching dir C:\Users\korotkevich\PycharmProjects\petProject\friendlydogs\locale with glob **/*.mo.
[DEBUG   :   django.utils.autoreload] - 2024-02-03 15:43:19,859 : watch_dir @ 0296: Watching dir C:\Users\korotkevich\PycharmProjects\petProject\friendlydogs\base\locale with glob **/*.mo.
[DEBUG   :        django.db.backends] - 2024-02-03 15:43:19,936 : debug_sql @ 0151: (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
